,virus,ID,accession,country,city,date
1126,EBOV,G6095.1,KR105347,SLE,Tonkolili,2014-09-27
1127,EBOV,G6103.1,KR105348,SLE,Moyamba,2014-09-28
1128,EBOV,G6104.1,KR105349,SLE,Moyamba,2014-09-28
1142,EBOV,77525_EMLK,KU296820,SLE,,2014-12-30
1143,EBOV,77529_EMLK,KU296477,SLE,,2014-12-30
1179,EBOV,77524_EMLK,KU296368,SLE,,2014-12-30
1180,EBOV,77526_EMLK,KU296824,SLE,,2014-12-30
1181,EBOV,MK0367,KU296770,SLE,Bombali,2014-12-21
1182,EBOV,MK0369,KU296413,SLE,Bombali,2014-12-21
1183,EBOV,MK0375,KU296606,SLE,Bombali,2014-12-22
1184,EBOV,MK0379,KU296480,SLE,Bombali,2014-12-22
1185,EBOV,MK0384,KU296628,SLE,Bombali,2014-12-22
1186,EBOV,MK0388,KU296630,SLE,Bombali,2014-12-22
1187,EBOV,MK0425,KU296379,SLE,Bombali,2014-12-23
1188,EBOV,MK0431,KU296621,SLE,Bombali,2014-12-23
1189,EBOV,MK0433,KU296845,SLE,Bombali,2014-12-23
1190,EBOV,MK0434,KU296554,SLE,Bombali,2014-12-23
1191,EBOV,MK0491,KU296510,SLE,Bombali,2014-12-23
1192,EBOV,MK0531,KU296448,SLE,Bombali,2014-12-26
1193,EBOV,MK0533,KU296436,SLE,?,2014-12-26
1194,EBOV,MK0549,KU296825,SLE,Bombali,2014-12-27
1195,EBOV,MK0592,KU296814,SLE,Bombali,2014-12-28
1196,EBOV,MK0607,KU296335,SLE,?,2014-12-28
1197,EBOV,MK0704,KU296663,SLE,Bombali,2014-12-31
1228,EBOV,MK0020,KU296551,SLE,Bombali,2014-12-08
1229,EBOV,MK0024,KU296705,SLE,Bombali,2014-12-08
1230,EBOV,MK0085,KU296738,SLE,Bombali,2014-12-10
1231,EBOV,MK0664,KU296761,SLE,?,2014-12-30
1295,EBOV,MK0045,KU296776,SLE,Bombali,2014-12-09
1378,EBOV,MK0363,KU296545,SLE,?,2014-12-21
1379,EBOV,MK0393,KU296496,SLE,?,2014-12-22
1380,EBOV,MK0464,KU296835,SLE,?,2014-12-24
1381,EBOV,MK0551,KU296717,SLE,?,2014-12-27
1382,EBOV,MK0574,KU296332,SLE,?,2014-12-28
1383,EBOV,MK0575,KU296681,SLE,?,2014-12-28
1384,EBOV,MK0584,KU296339,SLE,Bombali,2014-12-28
1385,EBOV,MK0709,KU296373,SLE,Tonkolili,2014-12-31
1419,EBOV,KT2315,KU296812,SLE,PortLoko,2014-12-02
1420,EBOV,KT2316,KU296774,SLE,PortLoko,2014-12-02
1421,EBOV,KT2317,KU296735,SLE,PortLoko,2014-12-02
1422,EBOV,KT2321,KU296762,SLE,PortLoko,2014-12-02
1423,EBOV,KT2449,KU296465,SLE,WesternUrban,2014-12-05
1424,EBOV,KT2641,KU296709,SLE,?,2014-12-12
1425,EBOV,KT2669,KU296726,SLE,?,2014-12-13
1426,EBOV,KT2810,KU296778,SLE,?,2014-12-16
1464,EBOV,MK0364,KU296453,SLE,Bombali,2014-12-21
1465,EBOV,MK0365,KU296406,SLE,Bombali,2014-12-21
1466,EBOV,MK0366,KU296320,SLE,Bombali,2014-12-21
1467,EBOV,MK0368,KU296718,SLE,Bombali,2014-12-21
1468,EBOV,MK0390,KU296398,SLE,Bombali,2014-12-22
1469,EBOV,MK0392,KU296691,SLE,Bombali,2014-12-22
